"I_Hate_TLOU2","Jul 1, 2020",0,217
"Hesmoker","Jul 1, 2020",10,190
"Rainemof","Jul 1, 2020",10,1330
"Mgia","Jun 23, 2020",1,1683
"Viniataide","Jul 1, 2020",10,221
"Gabrielpro666","Jul 1, 2020",0,254
"p1zzaboi-","Jun 20, 2020",10,184
"Fredpauly","Jul 1, 2020",10,173
"Savoia","Jul 1, 2020",9,882
"Jheine","Jul 1, 2020",4,1020
"Starfox64","Jul 1, 2020",1,278
"Dandoson","Jul 1, 2020",9,417
"geronimo1133","Jul 1, 2020",1,207
"Johnny_Cristic","Jul 1, 2020",10,1069
"aabarca96","Jul 1, 2020",8,3854
"greenisgood","Jul 1, 2020",5,1871
"Saikumar","Jul 1, 2020",3,943
"androsphere","Jul 1, 2020",10,284
"cc_geass","Jun 25, 2020",1,642
"Jcook539","Jul 1, 2020",3,945
"adityamondal97","Jul 1, 2020",0,123
"helder_sousa","Jul 1, 2020",0,351
"will_i_am_small","Jul 1, 2020",10,131
"agonzo","Jul 1, 2020",1,780
"LoveTheUnknown","Jun 29, 2020",2,1453
"PrimeD","Jun 22, 2020",0,845
"Loofton","Jul 1, 2020",10,204
"Casgustavo","Jul 1, 2020",9,153
"EerieEgg","Jul 1, 2020",0,1299
"Scarecrow47","Jul 1, 2020",10,990
"Bokester","Jul 1, 2020",10,1861
"maymax9","Jul 1, 2020",1,282
"Bradster","Jul 1, 2020",4,1129
"klausae","Jul 1, 2020",8,2623
"Cujonaut","Jul 1, 2020",8,223
"despinxz","Jul 1, 2020",10,2799
"aros3c","Jul 1, 2020",1,575
"nanofz","Jul 1, 2020",10,419
"A9DM","Jul 1, 2020",10,1212
"Kainan723","Jun 22, 2020",7,1285
"moodthefighter","Jun 24, 2020",3,2420
"NaiveTree","Jul 1, 2020",4,2035
"julixx86","Jul 1, 2020",9,381
"amittoestudios","Jul 1, 2020",9,879
"Pailos","Jul 1, 2020",8,330
"Maxxspeed","Jul 1, 2020",0,321
"coth","Jul 1, 2020",9,909
"chapusongs","Jul 1, 2020",10,299
"MrWayne69","Jul 1, 2020",1,307
"SolStrike","Jul 1, 2020",0,386
"Paulolicious14","Jul 1, 2020",10,611
"sananemos","Jul 1, 2020",1,133
"Lucasrafelp","Jul 1, 2020",10,132
"Laz3Q","Jul 1, 2020",0,348
"Tonythechino","Jul 1, 2020",10,740
"Armandos666","Jul 1, 2020",2,194
"kilikan","Jul 1, 2020",1,186
"sungjisee","Jul 1, 2020",0,199
"ckharshiing","Jun 19, 2020",10,317
"IHaveNoWords","Jul 1, 2020",0,324
"gis89","Jul 1, 2020",10,244
"cualdeto","Jul 1, 2020",0,1457
"Ablfz66","Jun 22, 2020",10,144
"backInBone","Jul 1, 2020",7,210
"NaoSejaBabaca75","Jun 24, 2020",10,229
"DeadpanDiane","Jul 1, 2020",10,1173
"DiEgOw_CrAzY","Jul 1, 2020",5,304
"EthanSoublin","Jul 1, 2020",10,895
"P2949","Jul 1, 2020",10,232
"VRE","Jul 1, 2020",10,141
"fredelpirato","Jul 1, 2020",10,180
"NoSkinPotato","Jul 1, 2020",5,2605
"SuperSerge13","Jul 1, 2020",0,424
"Banishmon","Jul 1, 2020",0,5079
"GreenleeLemons","Jul 1, 2020",8,155
"picklemandevc","Jul 1, 2020",1,2016
"elbutero","Jul 1, 2020",2,225
"Ivanromanov","Jul 1, 2020",10,176
"Nouraii","Jul 1, 2020",6,1181
"Striker_123","Jul 1, 2020",3,316
"zadorozh","Jul 1, 2020",9,142
"NumOfADevil","Jul 1, 2020",7,178
"Beguer","Jul 1, 2020",10,192
"DevilDJack","Jul 1, 2020",10,171
"king05wolves","Jul 1, 2020",10,143
"AnteroNoNo97","Jul 1, 2020",10,212
"mulamasa","Jul 1, 2020",10,167
"takeupspace1231","Jul 1, 2020",0,1245
"Leviathon6425","Jul 1, 2020",1,1096
"MrMahn","Jul 1, 2020",4,1072
"weirdflexbutok","Jul 1, 2020",9,3787
"Tarington555","Jul 1, 2020",8,2379
"killer0213","Jul 1, 2020",0,202
"cwendell","Jul 1, 2020",10,1943
"Kiliangod","Jul 1, 2020",8,250
"Jordan_Foust45","Jul 1, 2020",1,1046
